ID,Smiles,Target Name,Ki,exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi
CHEMBL441618,CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1,Dopamine D1 receptor,60.4,290.178298704,290.4100000000001,2.0,1.0,0.0,1.0,1.0,22.0,44.0,2.0,0.0,0.3,4.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,131.3229774813643,19.03,3.789100000000002,92.45170000000006,13.101549654949705,8.14858322828598,4.8940189139052395,4.8940189139052395,3.5823528091456627,13.101549654949705,8.14858322828598,4.8940189139052395,4.8940189139052395,3.5823528091456627,-2.0599999999999996,13.592466652326033,5.617947319351962,2.439311532200488,3.4709891633098167
CHEMBL597702,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccc(CN(Cc3ccccc3)c3ccc(F)cc3F)cc2)C1,Dopamine D1 receptor,0.7,518.193647668,519.0350000000002,3.0,1.0,6.0,1.0,3.0,37.0,66.0,6.0,0.0,0.22580645161290322,5.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,221.0996875102729,26.71,7.1504000000000065,145.2897999999998,21.42725109532314,12.775293386684362,7.366116486928646,7.366116486928646,5.287437325872468,20.671322149304686,12.397328913675135,7.063383171219801,7.063383171219801,5.101176705773427,-3.4099999999999984,25.24841229077173,10.913333416441056,5.7874829105172285,7.447144366620545
CHEMBL597909,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccc(NS(C)(=O)=O)cc3CC[C@@H]21,Dopamine D1 receptor,0.5,406.11179127599996,406.9350000000002,5.0,2.0,2.0,2.0,4.0,27.0,50.0,7.0,0.0,0.4,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,164.56434365897962,69.64,3.351700000000002,108.31130000000003,16.939441071420486,11.318084149880368,6.62844457626394,6.62844457626394,5.25941188882276,15.367015544474306,9.048708138812886,5.7192181882609825,5.7192181882609825,4.518031971755473,-1.7599999999999998,18.596242325995714,6.689206857875341,3.534756068107717,4.607189322139341
CHEMBL600986,CCS(=O)(=O)Nc1ccc2c(c1)CC[C@H]1[C@H]2c2cc(O)c(Cl)cc2CCN1C,Dopamine D1 receptor,0.7,420.12744134,420.96200000000016,5.0,2.0,3.0,2.0,4.0,28.0,53.0,7.0,0.0,0.42857142857142855,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,170.92928577337622,69.64,3.7418000000000022,112.92830000000005,17.646547852607032,11.666471463459764,7.678884192440919,7.678884192440919,5.372364849175601,16.074122325660852,9.636241764130384,6.06936472698664,6.06936472698664,4.5556829585397525,-1.7599999999999998,19.551847234360295,7.24618452251124,3.49087661441466,5.05986760057592
CHEMBL459373,CN(CCCN1c2ccccc2Sc2ccc(Cl)cc21)Cc1ccc(OCCCN2CCCCC2)cc1,Dopamine D1 receptor,232.0,535.2424115160001,536.1850000000005,4.0,0.0,11.0,0.0,5.0,37.0,75.0,6.0,0.0,0.41935483870967744,5.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,231.0975992040864,18.950000000000003,7.719600000000008,156.81899999999968,23.444661702707453,14.816589384374522,8.586602100182239,8.586602100182239,6.527553893180377,21.872236175761277,13.622128330437567,7.221236618560575,7.221236618560575,5.285103516776347,-2.1799999999999993,26.428037306624773,13.05731745387484,7.2301052144756595,9.326466832309379
CHEMBL396560,COc1ccc2[nH]c3c(c2c1)CCN(C)CCc1ccccc1C3,Dopamine D1 receptor,0.82,320.18886338799996,320.43600000000004,3.0,1.0,1.0,1.0,2.0,24.0,48.0,3.0,0.0,0.3333333333333333,4.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,142.80146482526783,28.259999999999998,3.7977000000000034,99.00370000000005,14.432447676223942,8.671639266504734,5.193689532464972,5.193689532464972,3.736091588408678,14.432447676223942,8.671639266504734,5.193689532464972,5.193689532464972,3.736091588408678,-2.2599999999999993,15.278392164525618,6.326943444368629,2.8020427671418524,4.027730131076599
CHEMBL515342,CCCCCC(=O)Oc1cccc2c1-c1cccc3c1[C@@H](C2)N(CCC)CC3,Dopamine D1 receptor,10.0,377.23547923200005,377.52800000000025,3.0,0.0,7.0,0.0,3.0,28.0,59.0,3.0,0.0,0.48,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,168.25598350541247,29.54,5.704600000000006,113.66800000000006,17.169123091433995,10.912857888400808,6.152965132513186,6.152965132513186,4.86976850060747,17.169123091433995,10.912857888400808,6.152965132513186,6.152965132513186,4.86976850060747,-2.1299999999999994,19.197931224008727,8.483427405843628,3.6024393396279972,5.81658056718774
CHEMBL25856,Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2,Dopamine D1 receptor,33.0,267.125928784,267.32800000000003,3.0,3.0,0.0,3.0,3.0,20.0,37.0,3.0,0.0,0.29411764705882354,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,117.43987527848566,52.49,2.6477000000000004,77.00530000000003,11.134549688076568,7.097531602430293,4.64335890634925,4.64335890634925,3.6805082827270343,11.134549688076568,7.097531602430293,4.64335890634925,4.64335890634925,3.6805082827270343,-1.9999999999999996,11.795918367346939,4.25,1.6296966953372567,2.5066326530612244
CHEMBL285924,COc1ccc2c(n1)CN[C@@H]1CCc3cc(O)c(O)cc3[C@@H]21,Dopamine D1 receptor,49.0,298.131742436,298.342,5.0,3.0,1.0,3.0,5.0,22.0,40.0,5.0,0.0,0.35294117647058826,4.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,128.13801060333566,74.61,2.0513,81.35230000000003,12.335311035661137,7.490450966959379,4.758241336352174,4.758241336352174,3.69917495252199,12.335311035661137,7.490450966959379,4.758241336352174,4.758241336352174,3.69917495252199,-2.27,13.396883124047113,4.881414444811354,1.9282835346694038,2.9725335816896834
CHEMBL1088073,CN1CCc2ccccc2Cc2c[nH]c3cccc(c23)C1,Dopamine D1 receptor,10000.0,276.16264864,276.38300000000004,2.0,1.0,0.0,1.0,1.0,21.0,41.0,2.0,0.0,0.2631578947368421,4.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,124.95803536696766,19.03,3.7466000000000026,87.58470000000004,12.394442873763158,7.642600164142274,4.576180479541476,4.576180479541476,3.4680250763093166,12.394442873763158,7.642600164142274,4.576180479541476,4.576180479541476,3.4680250763093166,-2.0599999999999996,12.66343733510386,5.04637391884988,2.2570071592266925,3.0430685662313306
CHEMBL397180,COc1ccc(CCN2CCCc3ccccc3C2)cc1Cl,Dopamine D1 receptor,10000.0,315.138992004,315.84399999999994,2.0,0.0,4.0,0.0,2.0,22.0,44.0,3.0,0.0,0.3684210526315789,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,137.21390609939996,12.47,4.339500000000005,91.74800000000005,13.773447876438173,8.25404675594218,4.661075511888926,4.661075511888926,3.3924670131535786,13.017518930419717,7.876082282932954,4.365705946671889,4.365705946671889,3.112175505521744,-1.5099999999999993,15.388161151015984,7.167551344869914,3.6269557964323687,5.013428870592708
CHEMBL443843,COc1ccc2c(c1)CCCN1CCCc3ccccc3C21,Dopamine D1 receptor,10000.0,293.177964356,293.40999999999997,2.0,0.0,1.0,0.0,2.0,22.0,45.0,2.0,0.0,0.4,4.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,132.2697508333857,12.47,3.9790000000000036,89.49400000000006,13.216904726600117,8.352868048755017,5.142442015577138,5.142442015577138,4.097088830185387,13.216904726600117,8.352868048755017,5.142442015577138,5.142442015577138,4.097088830185387,-1.7999999999999994,13.834958382877526,5.7698940339671925,2.3175771767015028,3.6284656287977013
CHEMBL389357,COc1ccc2c(c1)CCCN(C)CCc1ccccc1C2,Dopamine D1 receptor,29.4,295.19361442,295.426,2.0,0.0,1.0,0.0,2.0,22.0,47.0,2.0,0.0,0.4,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,133.27558198691491,12.47,3.706500000000003,91.76400000000007,13.63955445741049,8.171639266504735,4.661532637419658,4.661532637419658,3.2760086790688607,13.63955445741049,8.171639266504735,4.661532637419658,4.661532637419658,3.2760086790688607,-1.7999999999999994,15.109422936449963,6.973167843515635,3.503935860058308,4.789115552478657
CHEMBL3216523,CN1CCc2cc(SC[C@@H](N)C(=O)O)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl.Cl,Dopamine D1 receptor,141.0,458.08338360799996,459.39500000000015,6.0,5.0,4.0,4.0,6.0,29.0,53.0,9.0,0.0,0.35,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,185.4696161879874,107.02000000000001,3.197500000000003,118.8178,18.241216295712036,9.874653734765502,6.6054399600243245,6.6054399600243245,5.005112189344164,15.791726552928859,8.889055175112015,5.51062094323227,5.51062094323227,4.063750045125411,-1.6399999999999997,23.637114114120088,9.01706825887447,4.154600527971796,7.349567979649172
CHEMBL3215641,CN1CCc2cc(SCCN)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl.Cl,Dopamine D1 receptor,1300.0,414.0935543679999,415.386,4.0,4.0,3.0,3.0,5.0,26.0,50.0,7.0,0.0,0.3684210526315789,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,170.148918221351,69.72,3.744300000000005,112.26100000000002,17.015510921745136,9.324914323855447,6.159307026625853,6.159307026625853,4.7635641018509,14.56602117896196,8.33931576420196,5.150445027269558,5.150445027269558,3.9832340159609894,-1.1100000000000003,21.193032066169362,8.276216610980422,3.388952238766403,6.746081693195062
CHEMBL3216980,CN1CCc2cc(SC[C@H](N)C(=O)O)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl.Cl,Dopamine D1 receptor,4200.0,458.08338360799996,459.39500000000015,6.0,5.0,4.0,4.0,6.0,29.0,53.0,9.0,0.0,0.35,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,185.4696161879874,107.02000000000001,3.197500000000003,118.8178,18.241216295712036,9.874653734765502,6.6054399600243245,6.6054399600243245,5.005112189344164,15.791726552928859,8.889055175112015,5.51062094323227,5.51062094323227,4.063750045125411,-1.6399999999999997,23.637114114120088,9.01706825887447,4.154600527971796,7.349567979649172
CHEMBL1628227,CN(C)CCC=C1c2ccccc2COc2ccccc21,Dopamine D1 receptor,344.0,279.162314292,279.383,2.0,0.0,3.0,0.0,2.0,21.0,42.0,2.0,0.0,0.2631578947368421,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,126.22103684033402,12.47,3.9624000000000033,87.46600000000005,12.672934652230099,7.4086315908747,3.792715741036061,3.792715741036061,2.7115302451163505,12.672934652230099,7.4086315908747,3.792715741036061,3.792715741036061,2.7115302451163505,-2.0599999999999996,13.901814763425588,6.146844081766772,3.006125990520758,4.069156562113357
CHEMBL481153,O=C(OCCN1CCCC1)N1c2ccccc2Sc2ccccc21,Dopamine D1 receptor,5900.0,340.12454888,340.4480000000001,4.0,0.0,3.0,0.0,4.0,24.0,44.0,5.0,1.0,0.3157894736842105,4.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,145.94927451460146,32.78,4.521700000000004,96.16800000000003,14.297111483955527,9.195872526129964,5.57681100377514,5.57681100377514,4.292097664353863,13.480614903027801,8.379375945202241,4.446542624941214,4.446542624941214,3.23416133991422,-1.979999999999999,15.542043755882583,6.869554517431664,3.013966941777317,4.448621537222658
CHEMBL543398,Br.CN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1,Dopamine D1 receptor,0.9,383.028768628,384.7010000000001,3.0,2.0,1.0,2.0,3.0,22.0,41.0,5.0,0.0,0.29411764705882354,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,145.47164625793937,43.7,3.9489000000000045,94.58960000000002,14.759626776974226,7.42101525450678,4.578413647053058,4.578413647053058,3.3245463378444144,12.29062577785999,7.043050781497553,4.171285364119379,4.171285364119379,3.0241340891786868,-1.23,17.129038167639344,6.900821357353951,3.0937558323153573,5.372928746280754
CHEMBL142020,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccn3n2)CC1,Dopamine D1 receptor,1500.0,407.23212516800004,407.5180000000001,7.0,1.0,8.0,1.0,6.0,30.0,59.0,7.0,1.0,0.391304347826087,4.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,176.7829461141269,62.11,2.6751000000000005,118.40620000000003,17.45835763512657,10.57358375757635,5.5874416841713135,5.5874416841713135,3.9053718119857055,17.45835763512657,10.57358375757635,5.5874416841713135,5.5874416841713135,3.9053718119857055,-3.06,20.222458035643765,9.626472918176638,4.735517339033125,6.489031487302941
